date,code,w
2020-01-23,000001.XSHE,0.01118
2020-01-23,000002.XSHE,0.01254
2020-01-23,000063.XSHE,0.0069099999999999995
2020-01-23,000069.XSHE,0.00215
2020-01-23,000100.XSHE,0.00508
2020-01-23,000157.XSHE,0.00242
2020-01-23,000166.XSHE,0.00322
2020-01-23,000333.XSHE,0.01985
2020-01-23,000338.XSHE,0.00481
2020-01-23,000413.XSHE,0.00099
2020-01-23,000415.XSHE,0.00048
2020-01-23,000423.XSHE,0.00116
2020-01-23,000425.XSHE,0.00181
2020-01-23,000538.XSHE,0.00328
2020-01-23,000568.XSHE,0.00449
2020-01-23,000596.XSHE,0.00122
2020-01-23,000625.XSHE,0.0014299999999999998
2020-01-23,000627.XSHE,0.00095
2020-01-23,000629.XSHE,0.00083
2020-01-23,000630.XSHE,0.00104
2020-01-23,000651.XSHE,0.02282
2020-01-23,000656.XSHE,0.00113
2020-01-23,000661.XSHE,0.00517
2020-01-23,000671.XSHE,0.00086
2020-01-23,000703.XSHE,0.00116
2020-01-23,000709.XSHE,0.0007599999999999999
2020-01-23,000723.XSHE,0.0007099999999999999
2020-01-23,000725.XSHE,0.0083
2020-01-23,000728.XSHE,0.0013
2020-01-23,000768.XSHE,0.0017100000000000001
2020-01-23,000776.XSHE,0.0032500000000000003
2020-01-23,000783.XSHE,0.00198
2020-01-23,000786.XSHE,0.00161
2020-01-23,000858.XSHE,0.01816
2020-01-23,000876.XSHE,0.0028399999999999996
2020-01-23,000895.XSHE,0.00216
2020-01-23,000898.XSHE,0.00054
2020-01-23,000938.XSHE,0.002
2020-01-23,000961.XSHE,0.00128
2020-01-23,000963.XSHE,0.00135
2020-01-23,001979.XSHE,0.00426
2020-01-23,002001.XSHE,0.0022500000000000003
2020-01-23,002007.XSHE,0.0022500000000000003
2020-01-23,002008.XSHE,0.0027500000000000003
2020-01-23,002010.XSHE,0.0006900000000000001
2020-01-23,002024.XSHE,0.0027600000000000003
2020-01-23,002027.XSHE,0.0044800000000000005
2020-01-23,002032.XSHE,0.00086
2020-01-23,002044.XSHE,0.0028599999999999997
2020-01-23,002050.XSHE,0.00213
2020-01-23,002081.XSHE,0.0010299999999999999
2020-01-23,002120.XSHE,0.00147
2020-01-23,002142.XSHE,0.005620000000000001
2020-01-23,002146.XSHE,0.00117
2020-01-23,002153.XSHE,0.00089
2020-01-23,002179.XSHE,0.00148
2020-01-23,002202.XSHE,0.00241
2020-01-23,002230.XSHE,0.00402
2020-01-23,002236.XSHE,0.00269
2020-01-23,002241.XSHE,0.00398
2020-01-23,002252.XSHE,0.0011799999999999998
2020-01-23,002271.XSHE,0.0018
2020-01-23,002294.XSHE,0.00058
2020-01-23,002304.XSHE,0.00479
2020-01-23,002311.XSHE,0.002
2020-01-23,002352.XSHE,0.0025700000000000002
2020-01-23,002410.XSHE,0.00201
2020-01-23,002411.XSHE,0.0005600000000000001
2020-01-23,002415.XSHE,0.00998
2020-01-23,002422.XSHE,0.0016
2020-01-23,002456.XSHE,0.00252
2020-01-23,002460.XSHE,0.00246
2020-01-23,002466.XSHE,0.0020399999999999997
2020-01-23,002468.XSHE,0.00043
2020-01-23,002475.XSHE,0.01075
2020-01-23,002493.XSHE,0.00161
2020-01-23,002508.XSHE,0.00116
2020-01-23,002555.XSHE,0.00254
2020-01-23,002558.XSHE,0.00082
2020-01-23,002594.XSHE,0.00402
2020-01-23,002601.XSHE,0.00122
2020-01-23,002602.XSHE,0.0022400000000000002
2020-01-23,002607.XSHE,0.00084
2020-01-23,002624.XSHE,0.00182
2020-01-23,002673.XSHE,0.0012
2020-01-23,002714.XSHE,0.00524
2020-01-23,002736.XSHE,0.0022400000000000002
2020-01-23,002739.XSHE,0.00107
2020-01-23,002773.XSHE,0.00075
2020-01-23,002841.XSHE,0.00045
2020-01-23,002916.XSHE,0.00134
2020-01-23,002938.XSHE,0.00094
2020-01-23,002939.XSHE,0.00035000000000000005
2020-01-23,002945.XSHE,0.00029
2020-01-23,002958.XSHE,0.00027
2020-01-23,300003.XSHE,0.00253
2020-01-23,300015.XSHE,0.00368
2020-01-23,300017.XSHE,0.0011799999999999998
2020-01-23,300024.XSHE,0.00123
2020-01-23,300033.XSHE,0.0017399999999999998
2020-01-23,300059.XSHE,0.00601
2020-01-23,300070.XSHE,0.00121
2020-01-23,300122.XSHE,0.00212
2020-01-23,300124.XSHE,0.00226
2020-01-23,300136.XSHE,0.00253
2020-01-23,300142.XSHE,0.0025700000000000002
2020-01-23,300144.XSHE,0.0017399999999999998
2020-01-23,300347.XSHE,0.0028499999999999997
2020-01-23,300408.XSHE,0.0018
2020-01-23,300413.XSHE,0.00182
2020-01-23,300433.XSHE,0.00196
2020-01-23,300498.XSHE,0.00901
2020-01-23,600000.XSHG,0.00988
2020-01-23,600004.XSHG,0.0011799999999999998
2020-01-23,600009.XSHG,0.00493
2020-01-23,600010.XSHG,0.00211
2020-01-23,600011.XSHG,0.0017699999999999999
2020-01-23,600015.XSHG,0.00338
2020-01-23,600016.XSHG,0.01119
2020-01-23,600018.XSHG,0.00179
2020-01-23,600019.XSHG,0.00359
2020-01-23,600023.XSHG,0.00113
2020-01-23,600025.XSHG,0.00053
2020-01-23,600027.XSHG,0.00086
2020-01-23,600028.XSHG,0.0049
2020-01-23,600029.XSHG,0.0020499999999999997
2020-01-23,600030.XSHG,0.01395
2020-01-23,600031.XSHG,0.00701
2020-01-23,600036.XSHG,0.028159999999999998
2020-01-23,600038.XSHG,0.00097
2020-01-23,600048.XSHG,0.00814
2020-01-23,600050.XSHG,0.0039000000000000003
2020-01-23,600061.XSHG,0.0017499999999999998
2020-01-23,600066.XSHG,0.00155
2020-01-23,600068.XSHG,0.0012900000000000001
2020-01-23,600085.XSHG,0.00111
2020-01-23,600089.XSHG,0.0017499999999999998
2020-01-23,600100.XSHG,0.00155
2020-01-23,600104.XSHG,0.00588
2020-01-23,600109.XSHG,0.00158
2020-01-23,600111.XSHG,0.00164
2020-01-23,600115.XSHG,0.0017000000000000001
2020-01-23,600118.XSHG,0.0012900000000000001
2020-01-23,600153.XSHG,0.0009
2020-01-23,600170.XSHG,0.0011200000000000001
2020-01-23,600176.XSHG,0.00156
2020-01-23,600177.XSHG,0.0018
2020-01-23,600183.XSHG,0.0020499999999999997
2020-01-23,600188.XSHG,0.00064
2020-01-23,600196.XSHG,0.0019500000000000001
2020-01-23,600208.XSHG,0.0011200000000000001
2020-01-23,600219.XSHG,0.0011899999999999999
2020-01-23,600221.XSHG,0.0014299999999999998
2020-01-23,600233.XSHG,0.0005899999999999999
2020-01-23,600271.XSHG,0.0019
2020-01-23,600276.XSHG,0.02021
2020-01-23,600297.XSHG,0.00089
2020-01-23,600299.XSHG,0.00024
2020-01-23,600309.XSHG,0.00604
2020-01-23,600332.XSHG,0.00157
2020-01-23,600340.XSHG,0.0023599999999999997
2020-01-23,600346.XSHG,0.00267
2020-01-23,600352.XSHG,0.0025800000000000003
2020-01-23,600362.XSHG,0.00116
2020-01-23,600369.XSHG,0.00106
2020-01-23,600372.XSHG,0.0005600000000000001
2020-01-23,600383.XSHG,0.00221
2020-01-23,600390.XSHG,0.00029
2020-01-23,600398.XSHG,0.00073
2020-01-23,600406.XSHG,0.00311
2020-01-23,600436.XSHG,0.0028799999999999997
2020-01-23,600438.XSHG,0.0019500000000000001
2020-01-23,600482.XSHG,0.00097
2020-01-23,600487.XSHG,0.00164
2020-01-23,600489.XSHG,0.00104
2020-01-23,600498.XSHG,0.00135
2020-01-23,600516.XSHG,0.00136
2020-01-23,600519.XSHG,0.03924
2020-01-23,600522.XSHG,0.0015
2020-01-23,600535.XSHG,0.00105
2020-01-23,600547.XSHG,0.0025
2020-01-23,600566.XSHG,0.00063
2020-01-23,600570.XSHG,0.00423
2020-01-23,600583.XSHG,0.0011799999999999998
2020-01-23,600585.XSHG,0.00712
2020-01-23,600588.XSHG,0.00302
2020-01-23,600606.XSHG,0.0017599999999999998
2020-01-23,600637.XSHG,0.0016200000000000001
2020-01-23,600655.XSHG,0.0008699999999999999
2020-01-23,600660.XSHG,0.00256
2020-01-23,600663.XSHG,0.00084
2020-01-23,600674.XSHG,0.0011899999999999999
2020-01-23,600690.XSHG,0.00508
2020-01-23,600703.XSHG,0.00409
2020-01-23,600705.XSHG,0.00181
2020-01-23,600733.XSHG,0.00067
2020-01-23,600741.XSHG,0.00312
2020-01-23,600760.XSHG,0.0009
2020-01-23,600795.XSHG,0.00194
2020-01-23,600809.XSHG,0.00178
2020-01-23,600816.XSHG,0.0006
2020-01-23,600837.XSHG,0.00873
2020-01-23,600848.XSHG,0.0007000000000000001
2020-01-23,600867.XSHG,0.00128
2020-01-23,600886.XSHG,0.0020499999999999997
2020-01-23,600887.XSHG,0.013859999999999999
2020-01-23,600893.XSHG,0.0014399999999999999
2020-01-23,600900.XSHG,0.01119
2020-01-23,600919.XSHG,0.0047599999999999995
2020-01-23,600926.XSHG,0.0014000000000000002
2020-01-23,600928.XSHG,0.00025
2020-01-23,600958.XSHG,0.0027300000000000002
2020-01-23,600968.XSHG,0.00042
2020-01-23,600977.XSHG,0.0007599999999999999
2020-01-23,600989.XSHG,0.00054
2020-01-23,600998.XSHG,0.0006900000000000001
2020-01-23,600999.XSHG,0.00398
2020-01-23,601006.XSHG,0.0034000000000000002
2020-01-23,601009.XSHG,0.00364
2020-01-23,601012.XSHG,0.00569
2020-01-23,601018.XSHG,0.00107
2020-01-23,601021.XSHG,0.00107
2020-01-23,601066.XSHG,0.0011200000000000001
2020-01-23,601088.XSHG,0.00423
2020-01-23,601108.XSHG,0.00202
2020-01-23,601111.XSHG,0.00183
2020-01-23,601117.XSHG,0.00128
2020-01-23,601138.XSHG,0.00265
2020-01-23,601155.XSHG,0.00228
2020-01-23,601162.XSHG,0.00025
2020-01-23,601166.XSHG,0.02005
2020-01-23,601169.XSHG,0.0059499999999999996
2020-01-23,601186.XSHG,0.00321
2020-01-23,601198.XSHG,0.00125
2020-01-23,601211.XSHG,0.00588
2020-01-23,601212.XSHG,0.00035999999999999997
2020-01-23,601216.XSHG,0.00073
2020-01-23,601225.XSHG,0.00249
2020-01-23,601229.XSHG,0.00469
2020-01-23,601236.XSHG,0.00054
2020-01-23,601238.XSHG,0.00075
2020-01-23,601288.XSHG,0.01
2020-01-23,601298.XSHG,0.00024
2020-01-23,601318.XSHG,0.06708
2020-01-23,601319.XSHG,0.00057
2020-01-23,601328.XSHG,0.01115
2020-01-23,601336.XSHG,0.00297
2020-01-23,601360.XSHG,0.00074
2020-01-23,601377.XSHG,0.0023599999999999997
2020-01-23,601390.XSHG,0.00336
2020-01-23,601398.XSHG,0.00915
2020-01-23,601555.XSHG,0.0016300000000000002
2020-01-23,601577.XSHG,0.00066
2020-01-23,601600.XSHG,0.0016
2020-01-23,601601.XSHG,0.00838
2020-01-23,601607.XSHG,0.0016200000000000001
2020-01-23,601618.XSHG,0.0014199999999999998
2020-01-23,601628.XSHG,0.0039900000000000005
2020-01-23,601633.XSHG,0.00075
2020-01-23,601668.XSHG,0.00852
